Activity_code,Goal_1,Goal_2,Goal_3,
43082.01,DO NOT CODE,,,
51010.01,DO NOT CODE,,,
51010.02,DO NOT CODE,,,
51010.03,DO NOT CODE,,,
51010.04,DO NOT CODE,,,
51010.05,DO NOT CODE,,,
52010.01,2.1,,,
52010.02,2.1,,,
52010.03,2.1,,,
53030.01,9.2,,,
53030.02,9.2,,,
53030.03,9.2,,,
53040.01,DO NOT CODE,,,
53040.02,DO NOT CODE,,,
53040.03,DO NOT CODE,,,
53040.04,DO NOT CODE,,,
53050.01,17.11,,,
60010.01,17.4,,,
60010.02,17.4,,,
60010.03,17.4,,,
60010.04,17.4,,,
60020.01,17.4,,,
60020.02,17.4,,,
60030.01,17.4,,,
60040.01,17.4,,,
72010.01,DO NOT CODE,,,
72020.01,DO NOT CODE,,,
72030.01,DO NOT CODE,,,
72040.01,DO NOT CODE,,,
72050.01,DO NOT CODE,,,
73010.01,DO NOT CODE,,,
73010.02,DO NOT CODE,,,
73010.03,DO NOT CODE,,,
73010.04,DO NOT CODE,,,
73010.05,DO NOT CODE,,,
74010.01,1.5,11.5,,
74010.02,1.5,11.5,,
74010.03,1.5,11.5,16.6,
74010.04,1.5,11.5,,
74010.05,1.5,11.5,,
74010.06,1.5,11.5,,
74010.07,1.5,11.5,,
74010.08,1.5,11.5,,
74010.09,1.5,11.5,,
91010.01,DO NOT CODE,,,
92005.01,DO NOT CODE,,,
92010.01,DO NOT CODE,,,
92020.01,DO NOT CODE,,,
92030.01,DO NOT CODE,,,
93010.01,DO NOT CODE,,,
99810.01,DO NOT CODE,,,
99820.01,DO NOT CODE,,,
bbaaa.01,Do NOT CODE,,,
